primary_name,Branch Phone,Manager Name,Manager Contact,Concierge Contact1,Concierge Contact2,city
"Acropolis Mall, East Kolkata Township",8069028723,Gaurab Chatterjee,6232210220,6232210221,6232210218.0,Kolkata
"Ahluwalias Great Mall, DCM Rd",9358843261,Satyapraksh,9358843260,9358843261,9358843262.0,Kota
"Alcazar Mall, Jubilee Hills",8069028720,Abhishek Patel,8099916662,9394879173,9394879173.0,Hyderabad
"Amanora Mall, Hadapsar",8069028725,Mahesh,8657580758,8657413055,8657413056.0,Pune
"Ambience Mall, Sector 24",8448091166,Raju Pal,8448091164,8448091166,8448091166.0,Gurugram
"Anna Salai, Kosapet",8069028748,ARUN SRIDHARAN,8939805225,8939880961,8939880962.0,Vellore
"Atria Mall, Worli",8069028718,Kailash Sahoo,8828137716,8657987796,8657987797.0,Mumbai
Attapur,8069028720,Somnath,7993344093,9121228740,9121228740.0,Hyderabad
Banjara Hills,8069028720,ISHTIYAQUE,9121295480,9346166695,9346166695.0,Hyderabad
Bhartiya Mall of Bengaluru,8069028722,Manjunath Kamble,7225022557,7225022556,7225022556.0,Bengaluru
"Block A, Rajouri Garden",9289722615,Rahul,9289722614,9289722615,9289722616.0,New Delhi
Bussy Street,8069028747,Subrato Mondal,8939836534,8939836534,8939836535.0,Pondicherry
"Caculo Mall, Panaji",8069028746,Sauvik Mitra,7903090495,7259663210,7880107283.0,Goa
"Celebration Mall, Bhuwana",7728889642,Ranjeet,7728889640,7728889642,7728889643.0,Udaipur
Central Cinemas,8069028783,Rajeeb,9981369763,7090760332,9071662290.0,Manipal
"Centro Mall, MG Road",8069028745,NARESH,7674807711,8977665510,8977665520.0,Vijayawada
Chrompet,8069028724,Nazish Alam Baig,8939887928,8939805021,8939805020.0,Chennai
"Cine Mall, Race Course Road",8069028772,AJAY SHARMA,9377668171,7849006060,7227030700.0,Vadodara
"City Center Mall, Untwadi Road",8069028738,KITABUL MONDAL,8828432446,9152027747,,Nashik
City Centre,8069028735,Durjay Roy,6290828822,6290828816,6290828817.0,Durgapur
"City Centre, Railway Station Road",8828307519,Aktarul Mollick,7718882306,8828432445,8828307519.0,Bharuch
"City Mall, Civil Lines",8069028712,NITISH PANDEY,9076651222,9076651224,9076651225.0,Gorakhpur
"City Plaza Building, Abids",8069028720,Branch Manager,9154240104,9154240102,9154240103.0,Hyderabad
"Clover Hill Plaza, NIBM Road",8069028725,Birendra Giri,8657511357,9769338291,9833110240.0,Pune
Connaught Place,9625993568,VIJENDRA SINGH,7042698057,9625993568,9625993568.0,New Delhi
"Contractors Area, Bistupur",7880104758,Manindra Singh,7880103635,7880103912,7880103912.0,Jamshedpur
Cosmos Mall,8069028757,SHRAVAN PANDEY,9076666192,8824113327,9076666193.0,Agra
"Crown Interiorz Mall, Sec-35",9599488569,Avinash,9599488563,9599488569,9599488570.0,Faridabad
"Crystall Mall, Kalawad Road",8069028773,Santosh,7874411194,7227030707,7227030708.0,Rajkot
Del- Saket Southern Park,9717549993,Mr Sunil Kumar,9717549994,9717549993,9319294264.0,New Delhi
