primary_name,Week Name,Session Name,Offer Name,Per Pax Coupon Value,Fixed Coupon Value,From Group Size,To Group Size,VoucherHeadId,city
"Sector 5, Nerul",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Sector 5, Nerul",TUESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",THURSDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Sector 5, Nerul",MONDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 5, Nerul",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Sector 11, Belapur",TUESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Sector 11, Belapur",THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Sector 11, Belapur",MONDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Sector 11, Belapur",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Atria Mall, Worli",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Atria Mall, Worli",MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mumbai
Omr,SUNDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,SUNDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Omr,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Omr,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,WEDNESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Omr,WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Omr,THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,FRIDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Omr,FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,SATURDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Chennai
Omr,SATURDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
