primary_name,Customer Type,Period Name,Food Type,Week Name,Total Amount,Slot Timing From,Slot Timing To,city
"Sector 5, Nerul",Child,Dinner,VEG,SUNDAY,499,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Lunch,VEG,SUNDAY,499,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,NON-VEG,SUNDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,VEG,SUNDAY,999,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,NON-VEG,SUNDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,VEG,SUNDAY,999,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Dinner,VEG,MONDAY,499,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Lunch,VEG,MONDAY,499,12:00:00,16:00:00,Mumbai   
"Sector 5, Nerul",Adult,Lunch,NON-VEG,MONDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,VEG,MONDAY,999,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,NON-VEG,MONDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,VEG,MONDAY,999,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Dinner,VEG,TUESDAY,499,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Lunch,VEG,TUESDAY,499,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,NON-VEG,TUESDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,VEG,TUESDAY,999,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,NON-VEG,TUESDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,VEG,TUESDAY,999,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Dinner,VEG,WEDNESDAY,499,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Lunch,VEG,WEDNESDAY,499,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,NON-VEG,WEDNESDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,VEG,WEDNESDAY,999,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,NON-VEG,WEDNESDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Adult,Dinner,VEG,WEDNESDAY,999,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Dinner,VEG,THURSDAY,499,18:30:00,23:00:00,Mumbai
"Sector 5, Nerul",Child,Lunch,VEG,THURSDAY,499,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,NON-VEG,THURSDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 5, Nerul",Adult,Lunch,VEG,THURSDAY,999,12:00:00,16:00:00,Mumbai
